Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us)
1000;0.700000;5.300000;1.220000;;0.600000;1.100000;0.710000
11000;1.700000;17.300000;6.430000;;1.600000;13.900000;5.540000
21000;2.700000;24.500000;8.110000;;2.500000;24.100000;7.870000
31000;3.600000;33.100000;13.250000;;3.500000;33.800000;8.310000
41000;4.600000;43.700000;17.550000;;4.500000;38.000000;14.520000
51000;5.500000;38.500000;13.940000;;5.400000;39.900000;13.860000
61000;8.400000;50.800000;18.320000;;7.700000;57.200000;24.160000
71000;9.500000;84.600000;29.080000;;9.600000;58.600000;19.190000
81000;8.600000;113.100000;31.290000;;8.400000;84.100000;24.460000
91000;9.600000;64.800000;26.400000;;9.400000;63.200000;23.750000
