Tamano del Vector;B1R:Tiempo Medio(us);B2R:Tiempo Medio(us);BInterR:Tiempo Medio(us);B1I:Tiempo Medio(us);B2I:Tiempo Medio(us);BInterI:Tiempo Medio(us)
1000;8.08;5.94;0.62;5.85;5.87;0.63
1001000;19364.15;19786.05;1010.14;19255.63;19768.56;996.46
2001000;40119.73;40447.43;1798.48;40718.75;40753.76;1788.85
3001000;62003.07;61541.22;2635.29;61787.45;62011.65;2676.91
4001000;80843.07;80663.99;3437.94;81282.39;81458.35;3480.44
5001000;105576.88;105981.93;4549.98;107758.87;107956.05;4492
6001000;123559.07;124496;5028.69;124919.23;126495.21;5401.82
7001000;146266.33;147265.69;6519.71;145896.3;146651.87;6460.58
8001000;162593;164409.1;6882.06;163688.36;164268.68;7179.64
9001000;195424.32;193851.85;8453.03;193361.04;197452.48;7936.04
